what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319326278090
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1319326279047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319326279398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319326282822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319326292276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319326483145
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319326490313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319326519096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1319326522929
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319326523552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319326525433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319326529789
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1319326530819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319326531161
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319326534361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319326535518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319327659097
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1319327661834
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319327661835
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319327664110
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319327669597
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319327669693
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319327669734
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1319327672469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319327688378
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319327968813
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1319327988001
